level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	762	1000	-1	
2	1	1	0	0	0	305	99	218	10	-1	
3	1	1	1	0	0	305	99	218	10	-1	
4	1	1	1	1	0	305	99	218	10	-1	
5	1	1	1	1	1	305	99	218	10	95.000000	 
2	1	2	0	0	0	609	255	22	10	-1	
3	1	2	1	0	0	609	255	22	10	-1	
4	1	2	1	1	0	609	255	22	10	-1	
5	1	2	1	1	1	609	255	22	10	95.000000	 
2	1	3	0	0	0	304	290	13	14	-1	
3	1	3	1	0	0	304	290	13	14	-1	
4	1	3	1	1	0	304	290	13	14	-1	
5	1	3	1	1	1	304	290	13	14	95.000000	 
2	1	4	0	0	0	609	323	21	10	-1	
3	1	4	1	0	0	609	323	21	10	-1	
4	1	4	1	1	0	609	323	21	10	-1	
5	1	4	1	1	1	609	323	21	10	95.000000	 
2	1	5	0	0	0	202	332	3	9	-1	
3	1	5	1	0	0	202	332	3	9	-1	
4	1	5	1	1	0	202	332	3	9	-1	
5	1	5	1	1	1	202	332	3	9	95.000000	 
2	1	6	0	0	0	608	406	22	10	-1	
3	1	6	1	0	0	608	406	22	10	-1	
4	1	6	1	1	0	608	406	22	10	-1	
5	1	6	1	1	1	608	406	22	10	95.000000	 
2	1	7	0	0	0	56	424	573	29	-1	
3	1	7	1	0	0	56	424	573	29	-1	
4	1	7	1	1	0	56	424	573	29	-1	
5	1	7	1	1	1	56	424	47	28	95.000000	 
5	1	7	1	1	2	175	439	23	14	95.000000	 
5	1	7	1	1	3	608	433	21	10	95.000000	 
2	1	8	0	0	0	594	502	16	8	-1	
3	1	8	1	0	0	594	502	16	8	-1	
4	1	8	1	1	0	594	502	16	8	-1	
5	1	8	1	1	1	594	502	16	8	95.000000	 
2	1	9	0	0	0	603	557	23	12	-1	
3	1	9	1	0	0	603	557	23	12	-1	
4	1	9	1	1	0	603	557	23	12	-1	
5	1	9	1	1	1	603	557	23	12	95.000000	 
2	1	10	0	0	0	306	710	319	6	-1	
3	1	10	1	0	0	306	710	319	6	-1	
4	1	10	1	1	0	306	710	319	6	-1	
5	1	10	1	1	1	306	710	319	6	95.000000	 
2	1	11	0	0	0	55	98	585	637	-1	
3	1	11	1	0	0	252	98	374	80	-1	
4	1	11	1	1	0	252	98	119	10	-1	
5	1	11	1	1	1	252	98	10	7	46.958618	LS.
5	1	11	1	1	2	266	98	7	7	61.801792	OF
5	1	11	1	1	3	301	99	45	9	73.033722	COMMITMENTS
5	1	11	1	1	4	363	100	8	6	66.185303	W
4	1	11	1	2	0	319	113	104	10	-1	
5	1	11	1	2	1	319	113	13	9	37.508926	AS
5	1	11	1	2	2	336	104	10	28	37.508926	OF
5	1	11	1	2	3	352	104	33	28	66.328560	October
5	1	11	1	2	4	389	104	38	28	47.304855	16.1087,
4	1	11	1	3	0	393	144	156	28	-1	
5	1	11	1	3	1	393	154	24	7	95.388481	PAID
5	1	11	1	3	2	459	144	27	28	89.243637	PAID
5	1	11	1	3	3	525	155	24	8	50.096340	PAID
4	1	11	1	4	0	296	156	330	28	-1	
5	1	11	1	4	1	296	156	49	28	27.894722	AMOUNT
5	1	11	1	4	2	392	168	36	7	56.379784	FISCAL
5	1	11	1	4	3	458	168	103	9	0.000000	—FISCAL_-—FISCAL_
5	1	11	1	4	4	591	170	35	8	21.665344	TOTAL
3	1	11	2	0	0	58	169	582	244	-1	
4	1	11	2	1	0	58	169	582	29	-1	
5	1	11	2	1	1	58	169	41	28	51.744644	ee
5	1	11	2	1	2	136	170	38	28	44.685661	NAME
5	1	11	2	1	3	178	170	49	28	45.065804	__
5	1	11	2	1	4	299	181	68	10	0.000000	AUTMORIED
5	1	11	2	1	5	392	182	35	9	47.556835	1965
5	1	11	2	1	6	458	183	101	9	2.681000	ge?
5	1	11	2	1	7	591	184	49	9	51.743187	PAYABLE
4	1	11	2	2	0	61	214	567	28	-1	
5	1	11	2	2	1	61	222	37	7	34.001854	Te
5	1	11	2	2	2	143	223	10	7	61.647911	7
5	1	11	2	2	3	156	223	34	10	43.684597	Sterling
5	1	11	2	2	4	300	214	49	28	23.905853	972,000(2)
5	1	11	2	2	5	457	227	33	9	44.780022	324,000
5	1	11	2	2	6	526	228	33	8	43.022446	486,000
5	1	11	2	2	7	596	228	32	8	43.022446	162,000
4	1	11	2	3	0	57	238	502	33	-1	
5	1	11	2	3	1	57	238	31	28	47.664738	serio
5	1	11	2	3	2	143	241	36	28	64.341911	Peabody
5	1	11	2	3	3	185	241	35	28	7.453033	Museum
5	1	11	2	3	4	304	242	44	28	0.000000	+0,000(2)
5	1	11	2	3	5	462	243	31	28	67.903366	35,000
5	1	11	2	3	6	531	255	28	8	58.062943	35,000
4	1	11	2	4	0	61	252	567	33	-1	
5	1	11	2	4	1	61	252	27	28	42.051655	sent
5	1	11	2	4	2	143	264	37	9	84.473160	Peabody
5	1	11	2	4	3	183	265	37	7	66.564812	Museum
5	1	11	2	4	4	308	255	40	28	12.813423	‘o,000(3)
5	1	11	2	4	5	531	257	31	28	84.352501	35,000
5	1	11	2	4	6	600	269	28	9	48.236732	35,000
4	1	11	2	5	0	61	284	566	29	-1	
5	1	11	2	5	1	61	291	37	7	18.836739	secu
5	1	11	2	5	2	143	292	27	7	76.888153	Simon
5	1	11	2	5	3	173	293	27	7	0.000000	Frase
5	1	11	2	5	4	203	293	44	9	72.893097	Univesity
5	1	11	2	5	5	315	284	33	28	0.926445	,200(8)
5	1	11	2	5	6	462	285	31	28	30.895325	soeer
